Nivel,Tema,Concepto,Ejercicio
"1","Alfabetización de datos","Observación","¿Qué representa la fila P-002?"
"1","Alfabetización de datos","Variable","¿Qué variable ayuda a calcular cuántos tacos preparar?"
"1","Alfabetización de datos","Tabla","¿Qué vuelve interpretable el valor 3 de P-002?"
"1","Alfabetización de datos","Población","Si la pregunta cubre dos noches completas, ¿cuál es la población?"
"1","Alfabetización de datos","Muestra","¿Qué limita a las páginas legibles?"
"1","Tipos de variables","Numérica","¿Qué variable permite calcular una diferencia útil?"
"1","Tipos de variables","Categórica","¿Qué operación es compatible con tipo_taco?"
"1","Tipos de variables","Ordinal","¿Qué afirmación respeta el tipo ordinal?"
"1","Tipos de variables","Fecha","¿Qué valor identifica un momento completo?"
"1","Tipos de variables","Texto","¿Qué práctica conserva trazabilidad en comentario?"
"1","Calidad de datos","Faltantes","¿Qué debe hacerse inicialmente con num_tacos de P-003?"
"1","Calidad de datos","Duplicados","¿Qué confirma que P-006 es duplicado?"
"1","Calidad de datos","Rangos inválidos","¿Cuál tratamiento está respaldado?"
"1","Calidad de datos","Sesgo de medición","¿Qué evidencia sugiere sesgo de medición?"
"1","Preparación básica","Filtrar","¿Qué cambia después del filtro?"
"1","Preparación básica","Ordenar","¿Qué afirma correctamente la vista ordenada?"
"1","Preparación básica","Agrupar","¿Qué debe acompañar a 'agrupar por tipo_taco'?"
"1","Preparación básica","Transformar","¿Qué vuelve verificable la transformación?"
"2","Resumen numérico","Media","Al añadir el pedido grande, ¿qué marcador se desplaza más?"
"2","Resumen numérico","Media","¿Qué comparación visible impide llamar típico al pedido grande?"
"2","Resumen numérico","Mediana","Después de ordenar y añadir el extremo, ¿qué centro conserva mejor su posición?"
"2","Resumen numérico","Mediana","¿Qué par de marcas queda más separado en el estado final?"
"2","Resumen numérico","Moda","Al destacar la frecuencia máxima, ¿qué tamaño queda marcado?"
"2","Resumen numérico","Moda","¿Qué barra sostiene la preparación de más bolsas?"
"2","Resumen numérico","Rango","¿Qué le ocurre al rango cuando el máximo pasa al nuevo extremo?"
"2","Resumen numérico","Rango","¿Qué marcas determinan el rango final mostrado?"
"2","Resumen numérico","Varianza","¿Qué ocurre con la banda de dispersión al añadir el pedido grande?"
"2","Resumen numérico","Varianza","¿Qué evidencia muestra el peso cuadrático del extremo?"
"2","Resumen numérico","Desviación estándar","En el estado comparado, ¿qué cambio se observa en ±1 DE?"
"2","Resumen numérico","Desviación estándar","¿Qué salida visible conserva la unidad útil para Don Juan?"
"2","Resumen numérico","Percentiles","¿Qué secuencia de cortes aparece al recorrer P25, P50 y P75?"
"2","Resumen numérico","Percentiles","En P75, ¿dónde queda el corte observado?"
"2","Distribuciones","Histograma","Al cambiar de 7 a 22 bins, ¿qué permanece fijo en la etiqueta?"
"2","Distribuciones","Histograma","¿Qué cambia visiblemente entre el primer y el último estado?"
"2","Distribuciones","Densidad","¿Qué curva conserva más ondulaciones?"
"2","Distribuciones","Densidad","¿Qué pasa al aumentar la banda hasta 2?"
"2","Distribuciones","Forma","¿Qué comparación de tamaños de grupo muestran jueves y domingo?"
"2","Distribuciones","Forma","¿Qué elemento cambia al pasar de todos los pedidos a domingo?"
"2","Distribuciones","Sesgo","¿Hacia qué lado queda resaltada la cola?"
"2","Distribuciones","Sesgo","¿Qué pedidos ocupan la zona sombreada final?"
"2","Distribuciones","Multimodalidad","¿Cuántas concentraciones principales aparecen en los minutos del turno?"
"2","Distribuciones","Multimodalidad","¿Qué separación aparece en el estado final?"
"2","Distribuciones","Bins","¿Qué estado muestra el mayor detalle de intervalos?"
"2","Distribuciones","Bins","¿Qué patrón es comprobable en los tres estados?"
"2","Comparación visual","Gráfico de barras","¿Qué tipo de taco tiene la barra más alta?"
"2","Comparación visual","Gráfico de barras","¿Qué operación representan las etiquetas finales?"
