question_id,level,block_id,concept_ids,difficulty,stem,visual_asset,option_a,option_b,option_c,option_d,correct_option,feedback_correct,feedback_wrong,repasar_tags
A01,7,confusion-matrix,confusion-matrix|false-negative,7,Observa docs/placement/assets/diagnostic-visuals/A01-confusion-matrix.svg. La matriz muestra muchos falsos negativos en un caso donde no detectar el riesgo cuesta más que revisar de más. ¿Qué decisión es más defendible?,docs/placement/assets/diagnostic-visuals/A01-confusion-matrix.svg,"Bajar el umbral o priorizar recall, documentando el aumento de falsos positivos.",Mantener accuracy porque resume todos los aciertos.,Elegir el modelo con menor número de filas revisadas.,Ignorar la matriz y usar el score promedio.,A,"Correcto: el costo dominante está en FN, por eso recall y umbral importan.","La respuesta debe citar la celda FN y el costo del error, no una métrica agregada.",L7:confusion-matrix;L7:recall
A02,10,fairness-bars,fairness|representation,10,Observa docs/placement/assets/diagnostic-visuals/A02-fairness-bars.svg. El gráfico compara tasas por grupo y una brecha aparece en un grupo poco representado. ¿Qué conclusión es responsable?,docs/placement/assets/diagnostic-visuals/A02-fairness-bars.svg,La métrica elimina todo sesgo si el promedio global mejora.,"Hay una señal de revisión por grupo, pero la métrica no prueba justicia total.",El grupo pequeño debe excluirse para estabilizar la tasa.,La brecha prueba causalidad del modelo.,B,"Correcto: se revisa representación, daño y límites de la métrica.","No basta el promedio; hay que mirar grupo, incertidumbre y daño potencial.",L10:fairness;L10:representation
A03,3,uncertainty-interval,confidence-interval|bootstrap,3,Observa docs/placement/assets/diagnostic-visuals/A03-uncertainty-interval.svg. Dos intervalos se solapan y ambos provienen de muestras pequeñas. ¿Qué afirmación conserva incertidumbre?,docs/placement/assets/diagnostic-visuals/A03-uncertainty-interval.svg,El promedio mayor gana con certeza.,El solapamiento prueba que no hay ningún efecto posible.,La diferencia aún es incierta y requiere comunicar rango y supuesto.,La muestra pequeña se arregla redondeando.,C,Correcto: comunica incertidumbre sin convertir una estimación en certeza.,"La respuesta debe preservar intervalo, tamaño de muestra y límites.",L3:confidence-interval;L3:bootstrap
A04,12,harness-map,model-boundary|harness-engineering,12,"Observa docs/placement/assets/diagnostic-visuals/A04-harness-map.svg. El diagrama separa modelo, contexto, permisos y traza. ¿Qué pieza decide si una acción puede ejecutarse?",docs/placement/assets/diagnostic-visuals/A04-harness-map.svg,El modelo por sí solo porque produjo texto correcto.,La ventana de chat porque contiene la conversación.,El usuario sin registrar el evento.,"El harness con permisos, verificación y criterios de parada.",D,Correcto: el sistema alrededor del modelo gobierna acción y trazabilidad.,Confundir salida del modelo con autorizacion rompe el objetivo de L12.,L12:harness-engineering;L12:model-boundary
A05,8,cluster-scatter,k-means|anomaly-threshold,8,Observa docs/placement/assets/diagnostic-visuals/A05-cluster-scatter.svg. El scatter muestra tres grupos y un punto fronterizo. ¿Cómo debe usarse ese resultado?,docs/placement/assets/diagnostic-visuals/A05-cluster-scatter.svg,Como hipótesis exploratoria que requiere revisión humana y escala declarada.,Como etiqueta definitiva de clientes sin revisar.,Como prueba de causalidad entre variables.,Como predicción supervisada con recall calculado.,A,"Correcto: clustering sugiere estructura, no dicta decisiones finales.","La respuesta debe mencionar escala, distancia y revisión.",L8:k-means;L8:distance
A06,5,schema-join,schema-keys|join-cardinality,5,Observa docs/placement/assets/diagnostic-visuals/A06-schema-join.svg. El esquema muestra una llave primaria y una tabla de detalles uno-a-muchos. ¿Qué revisión va antes de sumar ventas?,docs/placement/assets/diagnostic-visuals/A06-schema-join.svg,Usar INNER JOIN siempre porque es más limpio.,Reconciliar cardinalidad y conteos antes/después del JOIN.,Sumar después del JOIN sin revisar duplicados.,Quitar la llave primaria para evitar sesgo.,B,Correcto: granularidad y cardinalidad protegen la unidad de análisis.,Un JOIN puede duplicar o perder unidades si no se reconcilia.,L5:join-cardinality;L5:grain
A07,1,data-table,observation|variable,1,"Observa docs/placement/assets/diagnostic-visuals/A07-data-table.svg. La tabla resalta una fila de pedido, una columna de cantidad y un valor faltante. ¿Qué identifica correctamente la unidad?",docs/placement/assets/diagnostic-visuals/A07-data-table.svg,La celda faltante representa toda la poblacion.,El ID se puede promediar como cantidad.,La fila representa un pedido y la columna una variable.,Cada columna es una muestra distinta.,C,"Correcto: fila, columna y celda tienen roles distintos.",La base de L1 es conservar unidad y significado antes de analizar.,L1:observation;L1:variable
A08,13,drift-line,data-drift|alert-threshold,13,Observa docs/placement/assets/diagnostic-visuals/A08-drift-line.svg. La línea cruza el umbral una vez y luego vuelve al baseline. ¿Qué decisión evita sobrerreaccionar?,docs/placement/assets/diagnostic-visuals/A08-drift-line.svg,Abrir incidente crítico por cualquier punto fuera del promedio.,Cambiar el modelo sin registrar baseline.,Borrar el punto que molesta.,Esperar criterio sostenido o evidencia adicional antes de declarar incidente.,D,Correcto: monitoreo separa variación aislada de cambio sostenido.,"Nivel 13 pide alerta con regla, baseline y revisión humana.",L13:data-drift;L13:alert-threshold
A09,11,api-contract,request-response|schema-tests,11,"Observa docs/placement/assets/diagnostic-visuals/A09-api-contract.svg. El contrato muestra request, schema y response con error 4xx controlado. ¿Qué valida el producto?",docs/placement/assets/diagnostic-visuals/A09-api-contract.svg,Que entradas inválidas fallen de forma esperada y versionada.,Que todo error devuelva 200 para no romper clientes.,Que los secretos viajen en el request.,Que no hacen falta tests si el endpoint responde.,A,Correcto: una API operable tiene fronteras y errores controlados.,"El producto de datos requiere contrato y pruebas, no solo correr.",L11:request-response;L11:schema-tests
A10,9,time-series,temporal-validation|lag-features,9,Observa docs/placement/assets/diagnostic-visuals/A10-time-series.svg. La serie muestra un corte temporal y features posteriores al corte. ¿Qué se debe hacer?,docs/placement/assets/diagnostic-visuals/A10-time-series.svg,Mezclar filas futuras para mejorar accuracy.,Excluir información posterior y validar con ventanas temporales.,Ordenar al azar porque aumenta diversidad.,Usar el último valor del target como feature.,B,Correcto: el orden temporal gobierna features y evaluación.,Usar futuro produce leakage temporal.,L9:temporal-validation;L9:lag-features
A11,6,regression-residuals,residuals|assumptions,6,"Observa docs/placement/assets/diagnostic-visuals/A11-regression-residuals.svg. La recta ajusta tendencia, pero los residuales forman patrón. ¿Qué lectura es correcta?",docs/placement/assets/diagnostic-visuals/A11-regression-residuals.svg,La pendiente prueba causalidad.,Los residuales se ignoran si R2 es alto.,"El ajuste existe, pero los supuestos y el error limitan la interpretación.",El intercepto arregla el patrón residual.,C,Correcto: modelar incluye revisar error y supuestos.,"La respuesta debe separar ajuste, error y causalidad.",L6:residuals;L6:assumptions
A12,7,threshold-curve,precision|recall,7,"Observa docs/placement/assets/diagnostic-visuals/A12-threshold-curve.svg. Al mover el umbral sube recall y baja precisión. Si el falso negativo cuesta más, ¿qué priorizas?",docs/placement/assets/diagnostic-visuals/A12-threshold-curve.svg,El umbral que maximiza accuracy siempre.,El modelo con menos positivos sin mirar FN.,El score calibrado como si fuera decisión automática.,Un umbral con mayor recall y costo de FP documentado.,D,Correcto: decisión y métrica siguen el costo del error.,No hay métrica universal; el dominio define tradeoff.,L7:recall;L7:threshold
A13,4,correlation-scatter,correlation|confounders,4,"Observa docs/placement/assets/diagnostic-visuals/A13-correlation-scatter.svg. El scatter muestra asociacion, pero el color revela grupos distintos. ¿Qué conclusión evita causalidad falsa?",docs/placement/assets/diagnostic-visuals/A13-correlation-scatter.svg,Hay asociacion; se deben revisar confusores antes de explicar causa.,La correlacion prueba que X causa Y.,Los grupos coloreados no importan si Pearson es alto.,Eliminar los grupos que cambian la pendiente.,A,Correcto: asociacion no basta para causalidad.,"Nivel 4 exige mirar forma, grupos y alternativas.",L4:correlation;L4:confounders
A14,2,histogram-shape,histogram|bins,2,Observa docs/placement/assets/diagnostic-visuals/A14-histogram-shape.svg. El histograma cambia de forma al modificar bins. ¿Qué práctica es adecuada?,docs/placement/assets/diagnostic-visuals/A14-histogram-shape.svg,Elegir los bins que hacen ver la historia deseada.,Comparar forma con bins razonables y explicar sensibilidad.,Ignorar multimodalidad porque la media resume todo.,Convertir toda distribución a una sola barra.,B,Correcto: los bins son parámetro visible que afecta lectura.,Responder sin mirar forma y bins pierde el mecanismo de L2.,L2:histogram;L2:bins
A15,5,join-explosion,join-cardinality|row-explosion,5,Observa docs/placement/assets/diagnostic-visuals/A15-join-explosión.svg. El JOIN duplica pedidos al cruzar con detalles. ¿Qué señal debe detener la interpretación?,docs/placement/assets/diagnostic-visuals/A15-join-explosion.svg,"El archivo tiene más filas, por tanto más evidencia.",LEFT JOIN siempre evita duplicados.,El conteo de filas aumenta sin reconciliar unidades únicas.,La suma mayor implica crecimiento real.,C,Correcto: la explosión de filas cambia el denominador.,No se interpreta una suma hasta reconciliar la unidad.,L5:join-cardinality;L5:row-explosion
A16,3,hypothesis-curve,p-value|type-i-error,3,Observa docs/placement/assets/diagnostic-visuals/A16-hypothesis-curve.svg. La curva marca región crítica y alpha. ¿Qué interpretación es válida?,docs/placement/assets/diagnostic-visuals/A16-hypothesis-curve.svg,p=0.03 significa 97% de probabilidad de éxito.,Alpha desaparece cuando el resultado es significativo.,Un p-value pequeño prueba efecto grande.,"El p-value mide compatibilidad con H0, no probabilidad de que H0 sea cierta.",D,Correcto: inferencia comunica evidencia bajo supuestos.,Evita convertir p-value en certeza o tamaño de efecto.,L3:p-value;L3:type-i-error
A17,10,privacy-flow,privacy|auditability,10,"Observa docs/placement/assets/diagnostic-visuals/A17-privacy-flow.svg. El flujo muestra propósito, acceso mínimo y auditoría. ¿Qué requisito falta si se comparte el dataset?",docs/placement/assets/diagnostic-visuals/A17-privacy-flow.svg,"Registrar propósito, minimización y trazabilidad de acceso.",Compartir todo porque el análisis es educativo.,Quitar nombres pero conservar secretos únicos.,Evitar documentar para no atraer revisiones.,A,"Correcto: privacidad exige propósito y auditoría, no solo anonimizar.",Nivel 10 no permite datos sensibles sin salvaguardas.,L10:privacy;L10:auditability
A18,12,tool-skill-loop,tool-contract|skill-procedure,12,Observa docs/placement/assets/diagnostic-visuals/A18-tool-skill-loop.svg. El diagrama muestra una tool atómica y una skill con pasos reutilizables. ¿Qué distinción es correcta?,docs/placement/assets/diagnostic-visuals/A18-tool-skill-loop.svg,Tool y skill son sinónimos si ambas aparecen en el prompt.,La tool ejecuta una capacidad acotada; la skill guía un procedimiento verificable.,La skill puede saltarse permisos por ser reusable.,La tool debe cargar todo el curso en contexto.,B,Correcto: capacidades y procedimientos tienen contratos distintos.,Confundir tool/skill rompe progressive disclosure y permisos.,L12:tool-contract;L12:skill-procedure
A19,13,rollback-timeline,operational-rollback|postmortem,13,"Observa docs/placement/assets/diagnostic-visuals/A19-rollback-timeline.svg. La línea muestra deploy, alerta sostenida, rollback y postmortem. ¿Qué acción conserva responsabilidad?",docs/placement/assets/diagnostic-visuals/A19-rollback-timeline.svg,Culpar al operador y borrar la traza.,Esperar a que el sistema se arregle solo.,"Revertir con evidencia, preservar logs y documentar causa raíz.",Rediseñar el harness durante el incidente.,C,Correcto: incident response contiene daño y preserva evidencia.,Nivel 13 opera y aprende sin borrar trazabilidad.,L13:rollback;L13:postmortem
