question_id,next_if_correct,next_if_wrong,correct_reason,wrong_reason,diagnostic_band
A01,A02,A03,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A02.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A03.,ancla-adaptativa
A02,A04,A05,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A04.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A05.,ancla-adaptativa
A03,A06,A07,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A06.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A07.,ancla-adaptativa
A04,A08,A09,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A08.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A09.,ancla-adaptativa
A05,A10,A11,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A10.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A11.,ancla-adaptativa
A06,A12,A13,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A12.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A13.,ancla-adaptativa
A07,A14,A15,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A14.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A15.,ancla-adaptativa
A08,A16,A17,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A16.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A17.,ancla-adaptativa
A09,A18,A19,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A18.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A19.,ancla-adaptativa
A10,A20,A21,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A20.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A21.,ancla-adaptativa
A11,A22,A23,La respuesta correcta permite probar una banda posterior o confirmar transferencia hacia A22.,La respuesta incorrecta activa una pregunta de prerrequisito o diagnostico fino en A23.,ancla-adaptativa
